Id экзамена;Id вопроса;№ вопроса;Текст вопроса;Картинка из вопроса;Оценка экзаменатора;Транскрибация ответа;Ссылка на оригинальный файл запис
3373871;30625752;1;"<p>Добро пожаловать на экзамен! <br>Вопрос устной части экзамена. Начните диалог.</p>
<p><strong>Вы заболели и не можете прийти на день рождения друга. Извинитесь. Задайте другу вопрос о подарке. </strong></p>";;1;Ваше первое задание. Вам нужно начать диалог. Вы заболели и не можете прийти на день рождения друга. Извините, задайте другу вопрос о подарке. Представим, что я ваш друг, и вы звоните мне, да? Начинайте свой диалог. Привет, я заболела сегодня, не смогу прийти к тебе на день рождения. Что бы ты хотела? Что бы ты хотела получить в подарок? Привет, очень жаль, что ты заболела и не сможешь прийти. Выздоравливай скорее. Когда ты выстареваешь, мы встретимся, и можешь подарить мне коробку конфет. Этого будет достаточно. Хорошо, спасибо.;https://storage.yandexcloud.net/odin-exam-files-dataset/be0b0075-5b38-4698-9458-eee11636573a-0.MP3
3373871;30625753;2;"<p>Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.<br><br></p>
<p><strong>– Вы живёте в квартире или доме? Где находится это место? </strong><br><strong>– ... </strong><br><strong>– Это старый или новый дом? Сколько у Вас комнат? </strong><br><strong>– ... </strong><br><strong>– У Вас есть балкон?Как и когда Вы им пользуетесь? </strong><br><strong>– ... </strong><br><strong>– Как Вы обычно делаете ремонт?Вы это делаете сами или делают специалисты? </strong><br><strong>– ...</strong></p>";;2;Теперь вам нужно принять участие в диалоге. Ответьте на вопросы собеседника полными предложениями. Вы живете в квартире или доме? Где находится? Это место. Я живу в общежитии, находится на улице Пушкина, дом 122А. Это старый или новый дом? Сколько у вас комнат? Старый, однокомнатная. Есть ли у вас балкон? Как и когда вы им пользуетесь? Балкона у нас нет, и мы им пользуемся. Как вы обычно делаете ремонт? Вы делаете это сами или делают специалисты? Ремонт проходит раз в год, и его делают специалисты. Хорошо.;https://storage.yandexcloud.net/odin-exam-files-dataset/be0b0075-5b38-4698-9458-eee11636573a-1.MP3
3373871;30625754;3;"<p>Вопрос устной части экзамена. Начните диалог. Получите нужную Вам информацию. Будьте вежливы.</p>
<p><strong>Представьте ситуацию. Вы пришли в магазин и хотите купить новый холодильник. </strong><br><strong>Обратитесь к менеджеру магазина. Попросите его посоветовать Вам хороший товар. Расспросите о его достоинствах и недостатках. Узнайте, можно ли оформить рассрочку и какие документы для этого нужны. Поблагодарите за предоставленную информацию.</strong></p>";;1;Получите нужную вам информацию, будьте вежливы. Представьте ситуацию. Вы пришли в магазин и хотите купить новое холодильник. Обратитесь к менеджеру магазина. Попросите его посоветовать вам хороший товар. Расспросите о его достоинствах и недостатках. Узнайте. Можно ли оформить рассрочку и какие документы для этого нужны? Поблагодарите за предоставленную информацию. Здравствуйте. Подскажите, пожалуйста, я бы хотела в вашем магазине приобрести холодильник. Посоветуйте мне какой-нибудь хороший холодильник, хорошего бренда. Расскажите, пожалуйста, о его достоинствах и недостатках. Могу ли я оформить рассрочку и какие документы для этого нужны? Здравствуйте. У нас есть отличный товар. Здравствуйте. Это отличная модель двухкамерных холодильников с авторазморозкой. Будет он стоить 60 000 рублей. Это отличная модель, которая достаточно популярна. Из недостатков может быть только цена. Хорошо, спасибо. Рассрочку оформить можно, а то требуется паспорт. Хорошо, спасибо.;https://storage.yandexcloud.net/odin-exam-files-dataset/be0b0075-5b38-4698-9458-eee11636573a-2.MP3
3373871;30625755;4;"<p>Вопрос устной части экзамена. Опишите картинку.</p>
<p> </p>
<p><strong>Ваше сообщение должно содержать следующую информацию. </strong><br><strong>– Что изображено на рисунке (место, время года и т.д.)? </strong><br><strong>– Кто изображён на рисунке? </strong><br><strong>– Что они делают? </strong><br><strong>– Расскажите подробнее о любом человеке, изображённом на рисунке. </strong><br><strong>– Сколько детей в вашей семье? Расскажите о них. </strong><br><strong>– Как Вы играете с детьми?</strong></p>
<p><strong><img src=""https://storage-public.odin.study/37a54d41-aade-4da2-a13d-6ab7d3ef8035.PNG"" width=""700"" height=""507""></strong></p>";https://storage-public.odin.study/37a54d41-aade-4da2-a13d-6ab7d3ef8035.PNG;2;Описывать можно не сразу, можно рассмотреть, подготовить свое сообщение. И оно должно содержать следующую информацию. Что изображено на рисунке, место, время года. Кто изображен на рисунке. Что делают эти люди. Также нужно выбрать одного человека и рассказать о нем подробнее. И когда опишите картинку, уже вопрос к вам. Сколько детей в вашей семье? Расскажите о них. И как вы играете с детьми. Сейчас пока рассмотрите, подготовьтесь. Как будете готовы, можете начинать описывать. На рисунке изображена семья. Дом. На кухне. Они находятся на кухне. Время года лето. Семья состоит из бабушка, дедушка, мама, папа. Четверо детей. Собака. Они. Как я понимаю, папа со старшим ребенком моет посуду. Мама накрывает на стол. Они обедают. Дедушка играет с младшим ребенком. Собака спит. Я расскажу о маме. Она одета в розовый халат с желтыми цветочками. Накрывает на стол. Параллельно общается с бабушкой, с детьми. Так. У моей семьи трое детей. Я старшая. Есть младшая сестра, 15 лет. Младший брат. Он 16 лет. Младший брат ему 6 лет. Да, я с ними играла. Я самая старшая. Мне 21 год. И со старшим и с младшим ребенком я играла. Как бы их не отчела. И вот. А сейчас как проводите с ними время? Сейчас мы видимся с ними редко. Я учусь в другом городе, в другой стране. Я приезжаю на учебу. Я приезжаю на Новый год. На новогодние каникулы, летом. Мы с ними также играем, гуляем. Где-то помогаю сделать какие-то уроки, задания на лето. Как они оба школьники. Вот. А можете рассказать откуда вы приехали? Я приехала из Казахстана. Североказахстанская область. Район имени Габиджана Сарепова. Село Дружба. Что у вас там есть в этом селе? Какие-то места? Места, может быть, красивые? У нас есть школа, есть дом культуры. Акимат, река Ишим. Очень много красивых мест. Очень красивая природа. Школа 11 лет. В ДК проходят различные мероприятия, концерты, кружки. В школе также проходят кружки. Есть по типу фитнес-клуба. Там у нас есть тренер. Проходят различные тренировки, секции. Летят. Легкая атлетика, дзюдо. Просто тренеры туда приходят на тренировки. Женщины, мужчины, все желающие. Хорошо. В Омске вы учитесь. Да. Какую профессию вы получаете? С какой специальностью? И сколько вы уже учитесь? Я учусь в Омском государственном университете путей сообщения. Последний курс 4 года, с 21 года. И вот по 25. Я инженер мобильной связи. Планируете работать по профессии или что-то другое рассматривать? Какую-то другую деятельность? Скорее нет, чем да. Я думаю, что попробую вначале в этой сфере деятельности. А дальше уже буду развиваться в чем-нибудь другом. Когда планируете получить вид на жительство, вы будете в Омске жить или в каком-то другом городе? Первые года два, может, год я планирую проживать в Омске. А далее приехать либо в Тюмень, либо в Екатеринбург. Чем обусловлен такой выбор городов? Чем они вам нравятся? И в Тюмени, и в Екатеринбурге там есть мои родственники. Хочется быть к ним поближе. Вы были в каком-то из этих городов? Да, я была и там, и там. А что больше всего запомнилось из этих поездок? Когда я ездила в Тюмень, мы гуляли с родственниками, ходили в различные рестораны, кафе, в торговые центры, гуляли по набережной в Екатеринбурге. Практически то же самое. И там, и там все было красиво, понравилось. Что вам нравится в Омске? В Омске мне очень нравится архитектура самого города, очень нравится природа на набережной, в принципе, какие здесь люди. Мне нравится уж какой-то такой родной город. Можете рассказать, чем вы пришли? Я пришла в город, в город, в город, в город. Можете рассказать, чем вы любите заниматься в свободное время? В свободное время я хожу на танцы. Ну, ходила ранее, сейчас уже не хожу. Хожу в тренажерный зал, люблю читать, заниматься какими-то своими делами, там, картины по меморам раскрашивать, алмазные мозаики собирать. А есть ли у вас любимая книга или фильм? Если есть, можете немного рассказать об этом про Екатеринбург. Любимый фильм, наверное, да, это российский сериал «Два берега». Там, я не помню уже точно сколько серий, там описывается, мне именно понравилось то, что охвачено очень большой промежуток времени, там с периода от революционного и до 80-60-х годов, и как раз раскрывается прямая история, и как раз раскрывается прямая история, и как раз показывается, как жили люди в деревнях в то время, и вот сейчас, и как-то вот есть сравнение, и это очень интересно. А кому бы вы посоветовали посмотреть этот сериал и почему? Я бы его посоветовала посмотреть вообще всем, я его и советую смотреть всем знакомым, родственникам, потому что вот это очень интересно, очень познавательно, и вот. Можете сказать, любите ли вы «Два берега»? Я бы могла сказать, любите ли вы отдых на природе? И как часто отдыхаете на природе с семьей или друзьями? Отдых на природе я люблю относительно, так как я там очень сильно устаю, мне не очень нравится живность, которая там есть, насекомые, отдыхаем мы не часто, летом, весной, я люблю, если только не долго, не на всю ночь, там, пару часов, на шашлыки можно, так, да. Хорошо, на этом на самом деле мы завершаем.;https://storage.yandexcloud.net/odin-exam-files-dataset/be0b0075-5b38-4698-9458-eee11636573a-3.MP3
3373872;30625790;1;"<p>Добро пожаловать на экзамен! <br>Вопрос устной части экзамена. Начните диалог.</p>
<p><strong>Вы увидели объявление о работе и хотите получить её. Позвоните и узнайте, какие требования предъявляет работодатель к соискателю. </strong></p>";;1;Первый вопрос – это вам нужно начать диалог. Вы увидели объявление о работе и хотите ее получить. Что вам нужно? Позвоните и узнайте, какие требования, какие требования у вас есть. Какие требования предъявляет работодатель соискателя? Здравствуйте. Здравствуйте. Увидел ваше объявление. Вам, вроде как, требуется специалист. Хотелось бы узнать, какие условия работы предоставляете и что от меня конкретно требуется. Какие документы, какие обязанности и какие полномочия будут у меня по долгу службы у вас? Ну, отлично. Один из немногих, который справился.;https://storage.yandexcloud.net/odin-exam-files-dataset/08c4b11f-3f54-4a58-ad4e-109face1d2a0-0.MP3
3373872;30625791;2;"<p>Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.<br><br></p>
<p><strong>– Вы живёте в квартире или доме? Где находится это место? </strong><br><strong>– ... </strong><br><strong>– Это старый или новый дом? Сколько у Вас комнат? </strong><br><strong>– ... </strong><br><strong>– У Вас есть балкон?Как и когда Вы им пользуетесь? </strong><br><strong>– ... </strong><br><strong>– Как Вы обычно делаете ремонт?Вы это делаете сами или делают специалисты? </strong><br><strong>– ...</strong></p>";;2;Итак, хорошо, следующее. Примите участие в диалоге и ответьте на вопросы полными предложениями. Вы живете в квартире или доме. Где находится это место? Так, получается полным, да? Да-да-да. Так, я живу в квартире. Полное полное, вот здесь полное полное вы отвечаете. Я живу в квартире, в многоэтажном доме, девятиэтажке, возле, получается, полного квартиры. Вообще? получается торгового комплекса фестиваля на улице 70 лет октября хорошо это старый или новый дом сколько у вас комнат это трехкомнатная квартира получается старый дом он где-то 80-х годов застройки а какие у нас получается у нас одна спальня 1 зал гостиная можно сказать и третья комната мы ее отдали под условную мастерскую домашнюю занимаемся домашними делами там девушка фигурка занимается ну я тоже там пластиком печатать занимаюсь ну она изготавливает сувенирные фигурки примерно смолы тоже печатал и потом продаем бывает в краснодар уезжала у нас москва уезжала здесь пока нет так хоть между прочим честь знакомых вот рядом с домом что у вас есть интересного tc континент лента у нас есть фестиваль евроспар мост можно ли листать вот так в принципе район довольно левый перекрут спокойным нем мало чего интересного 15-20 минутах ходьбы там есть парк в одну сторону там парк победа в другую сторону не помню название парка там сквер так может быть какие-то спортивные сооружения есть спортивных нет только тренажерные залы есть несколько штук в том же фестивале и микро Ты там есть траектором мужчина есть в городе normalmente нам порtz+. лестничная площадка let me 5-70 тоже контактируем ну и со старше по дому иногда а так особо как будто не пересекаемся с этим дону со временем у вас есть балкон как и когда вы им пользуетесь до балкон есть довольно большой подсказка дали как у всех коробки на нем хранятся самокаты так вся мелочь мусор какой-то сухой который нам тоже выкинуть будет а так иногда может быть в дождливую погоду выйти смотреть как обычно вы делаете ремонт вы это делаете сами или это делают специалисты обычно сам но в данном случае не квартиры съемные когда вот жил еще в паладаре там с отцом делали ремонт прям квартире стены обеда тяги вали сносили и городки которые можно было снести полы заливали меняли лдсп тоже под линолеум обои клеили потолки оттягивали красили все проводку;https://storage.yandexcloud.net/odin-exam-files-dataset/08c4b11f-3f54-4a58-ad4e-109face1d2a0-1.MP3
3373872;30625792;3;"<p>Вопрос устной части экзамена. Начните диалог. Получите нужную Вам информацию. Будьте вежливы.<br><br></p>
<p><strong>Представьте ситуацию. Вы пришли в медицинский центр. Вам необходимо </strong><strong>оформить медицинскую книжку. </strong><br><strong>Поздоровайтесь. </strong><strong>Узнайте у администратора, как можно оформить медицинскую книжку в этом центре. Поблагодарите за полученную информацию и оцените работу с Вами как с посетителем центра.</strong></p>";;1;нужную информацию быть вежливым ситуация такая пришли медицинский центр вам необходимо помнить медицинскую книжку что вам требует от вас требуется поздоровайтесь и знаете администратора как можно оформить медицинскую книжку в этом центре поблагодарите за полученную информацию и оцените работу с вами как с посетителем центра ну допустим пришел здравствуйте здравствуйте это мне нужноoby мне дают информацию соответственно получается медицинскую книжку знаете понял мне нужно оформить медицинскую книжку какие мне нужно для этого предоставить документы и когда я могу подойти чтобы ее грубо говоря форме для вас но документы нужно паспорт нужно фотография если она у нас есть то предоставите но и если есть уже парк медицинской книжки то ее тоже а планка если у меня нет ни разу не надо сейчас пройти тестирование и потом после того как вы пройдете мы вам тестирование можно сейчас в интернете там ваш личный сайт или ссылка на него есть все на вот вам ссылка а вот ссылка на сайт для медицинской книжки хорошо спасибо сейчас тогда оформлю и потом мы вам дадим список тех специалистов;https://storage.yandexcloud.net/odin-exam-files-dataset/08c4b11f-3f54-4a58-ad4e-109face1d2a0-2.MP3
3373872;30625793;4;"<p>Вопрос устной части экзамена. Опишите картинку.</p>
<p> </p>
<p><strong>Ваше сообщение должно содержать следующую информацию. <br>– Что изображено на рисунке (место, время года и т.д.)? <br>– Кого Вы видите на рисунке? <br>– Что делают эти люди? <br>– Расскажите подробнее о любом человеке, изображённом на рисунке.<br>– Как Вы думаете, какой это человек? <br>– Как Вы проводите своё свободное время?<br></strong></p>
<p><strong><img src=""https://storage-public.odin.study/8e72cc01-6efb-45ea-b2e7-7999291212da.PNG"" width=""658"" height=""385""></strong></p>";https://storage-public.odin.study/8e72cc01-6efb-45ea-b2e7-7999291212da.PNG;2;описание картинки ваше сообщение должно содержать информацию что изображено на рисунке место время года кого увидите на рисунке что делают эти люди рассказать подробно о любом человеке изображенным на рисунке ну и как думаете какой это человек последняя как вы проводите свое свободное время тоже я единственное не могу понять что там у женщины в синем руках все ладно на картинке я вижу сквер парк в котором отдыхают люди вижу велосипедиста вижу пожилого человека который на данной картинке просто сидит может там голубей кормит есть семья вижу женщина с двумя детьми с маленьким в районе года двух наверное из девочка которая играет классики наверное лет 7 бежит на заднем плане женщина несет что-то возможно шоколадку возможно деревяшку непонятно честно так он с шоколадкой дышит в шоколадке да это шоколадка честно непонятно не на горной желе она так с шоколадкой приближается а вдруг она очень радостная ладно может быть и вижу ребенка на роликовых коньках так нужно по ним еще расписать да каждого ну нет не каждого а кого-то одного если подробно одного человека ну давайте возьмем мужчину угу как уже сказал мужчине наверное порядка 65 70 лет он сидит в парке один почему один это остается за кадром может он по жизни один может быть у него жена дома может жены уже принципе нету он из-за этого находится в парке там воспоминания его греют или еще что то возможно он получает какой-то продукт покоение находясь в месте которое приближено к природе подальше от застроек городов выглядит как хороший человек добропорядочный добрый но ни с кем не контактирует ну вы не думаете что он с этой женщиной он не уделяет никакого внимания ни ребенку ни ей он даже направлен в другую сторону смотрит как будто он на что-то другом сосредоточен ну или о своем свободном времени расскажите свободное время по разному чем занимаюсь бывает гуляю бывает играю на компьютере бывает приходится спортом заниматься почему приходится ну не совсем много желания в эту сторону есть но нужно как бы для здоровья и каким спортом фитнес как бы там кардионагрузки в основном на тяжелые к сожалению нет времени потому что и после работы еще дополнительные обязанности есть и просто какие-то дополнительные подработки в итоге получается что все свободное время уходит опять же еще на работу сверху ну либо провожу время со своей второй половинкой пока еще не женат но в основном в основном живу на свободном времени все свободное время у нас проходит вместе и что вы делаете когда вы вместе ну либо мы так же гуляем проходимся вот по району либо в парк ходим либо по магазинам либо смотрим фильмы бывает играем на компьютере довольно часто взяли телевизор для того чтобы вместе это время перепроводить а не по отдельности также настольными играми увлекаемся вот несколько взяли там небольшая коллекция есть тоже чтобы вместе проводить время ну да отлично ещё;https://storage.yandexcloud.net/odin-exam-files-dataset/08c4b11f-3f54-4a58-ad4e-109face1d2a0-3.MP3
3373873;30625828;1;<p>Добро пожаловать на экзамен! <br>Вопрос устной части экзамена. Начните диалог. <br><strong>Вы пришли в миграционную службу. Вам нужно оформить миграционную карту. Объясните ситуацию и попросите дать Вам бланк.</strong></p>;;1;Ваше первое задание. Вам нужно начать диалог. Вы пришли в миграционную службу. Вам нужно оформить миграционную карту. Объясните ситуацию и попросите дать вам бланк. Мы представим, что я работаю в миграционной службе. Добрый день. Я приехала в Российскую Федерацию две недели назад. Мне нужно... Мне нужно оформить разрешение на временное проживание. Что мне для этого нужно? Заполнить какие-либо документы. Здравствуйте. Для начала вам нужно оформить миграционную карту. Если у вас с собой документ, удостоверяющий вашу личность, тогда мы можем выдать вам бланк. Хорошо. А бланк заполнять от руки? Да. Бланк вы заполните от руки. И после этого мы его проверим. И поставим его на миграционную карту. И поставим печать. Хорошо. А можно в реальном времени оформить бланк и уже получить разрешение? Да. Бланк вы можете начать заполнять прямо сейчас. Отлично. Можно схему заполнения бланка? Да, конечно. Вот вам образец. Вот пустой бланк. Поэтому будем ждать, когда вы его заполните. И отдадите на проверку. Спасибо. А сколько действует этот бланк, через сколько я могу подойти с ним еще раз? Ваша миграционная карта будет действовать три месяца, если вы зарегистрируетесь по месту пребывания. Если нет, то действие миграционной карты продолжается три месяца.;https://storage.yandexcloud.net/odin-exam-files-dataset/f102661c-89b7-47da-aab9-84c2da5a7f18-0.MP3
3373873;30625829;2;"<p>Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.</p>
<p> </p>
<p><strong>– Какие фильмы или сериалы Вы любите смотреть? Фантастику, детективы </strong><strong>или романтические фильмы? </strong><br><strong>– ... </strong><br><strong>– Вам нравятся новые фильмы или старые? Цветные или чёрно-белые?Почему? </strong><br><strong>– ... </strong><br><strong>– О чём Ваш любимый фильм? </strong><br><strong>– ... </strong><br><strong>– Кому бы Вы посоветовали его посмотреть и почему? </strong><br><strong>– ...</strong></p>";;2;ответьте на вопросы собеседника полными предложениями какие фильмы или сериалы вы любите смотреть фантастику детективы или романтические фильмы я очень люблю романтические фильмы так как я очень переживаю за две стороны как за девушку так и за мужчину мне очень нравится смотреть с моим молодым человеком нравится такой смотреть все это завязку развязку очень интересно фильмы или старые цветные или черно-белые я все-таки больше люблю цветные новые фильмы потому что цветопередача хорошая все ясно видно понятно качество лучше звук лучше передается поэтому старые фильмы я не любитель смотреть о чем ваш любимый фильм мой любимый фильм о семье он называется сваты о том как они выходят из каких-либо ситуаций и показывают свою дружелюбие к всем членам своей семьи кому бы вы посоветовали посмотреть сериал и почему посоветовала бы я посмотреть наверное всем с возраста так 10 лет и старше почему он очень интересный где-то даже поучительный можно и посмеяться и вынести какой-то урок для себя очень такой семейный очень прекрасный фильм;https://storage.yandexcloud.net/odin-exam-files-dataset/f102661c-89b7-47da-aab9-84c2da5a7f18-1.MP3
