original_index,text_length,word_count,sentence_count,avg_word_length,lexical_diversity,semantic_similarity,keyword_overlap,grammar_error_count,grammar_error_ratio,has_punctuation,has_greeting,has_questions,has_description,dialog_initiation,question_type,response_adequacy,information_seeking,descriptive_detail,real_score
0,535,87,14,6.149425287356322,0.7931034482758621,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
1,511,85,16,6.011764705882353,0.788235294117647,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,2.0,1.0,,,2
2,972,127,24,7.653543307086614,0.7559055118110236,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
3,5006,816,116,6.134803921568627,0.6237745098039216,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
4,555,80,13,6.9375,0.825,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
5,2273,370,12,6.143243243243243,0.7027027027027027,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,2.0,1.0,,,2
6,1084,172,1,6.3023255813953485,0.6686046511627907,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,0.0,,1
7,2835,467,1,6.070663811563169,0.5867237687366167,0.0,0.0,0,0,0.0,1.0,1.0,1.0,,4.0,,,1.0,2
8,1254,190,35,6.6,0.7315789473684211,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
9,1037,161,1,6.440993788819876,0.6770186335403726,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
10,1063,167,13,6.365269461077844,0.7365269461077845,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
11,2592,413,78,6.276029055690072,0.6779661016949152,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,4.0,,,1.0,1
12,555,77,14,7.207792207792208,0.8051948051948052,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
13,2234,358,80,6.240223463687151,0.7094972067039106,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
14,920,139,21,6.618705035971223,0.8129496402877698,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
15,3342,548,114,6.098540145985401,0.6624087591240876,0.0,0.0,0,0,0.0,1.0,1.0,1.0,,4.0,,,1.0,2
16,1243,208,6,5.975961538461538,0.7451923076923077,0.0,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,,,,1
17,1800,266,38,6.7669172932330826,0.7593984962406015,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
18,789,121,25,6.520661157024794,0.8181818181818182,0.0,0.0,0,0,0.0,1.0,0.0,0.0,,3.0,,1.0,,1
19,2880,436,93,6.605504587155964,0.7064220183486238,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
20,1005,167,24,6.017964071856287,0.7544910179640718,0.0,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,,,,1
21,1086,164,27,6.621951219512195,0.8353658536585366,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
22,1065,155,25,6.870967741935484,0.7870967741935484,0.0,0.0,0,0,0.0,1.0,1.0,1.0,,3.0,,1.0,,1
23,4088,644,93,6.3478260869565215,0.6770186335403726,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
24,477,68,13,7.014705882352941,0.75,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
25,2183,353,79,6.18413597733711,0.7082152974504249,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,2.0,1.0,,,2
26,1104,177,35,6.237288135593221,0.655367231638418,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
27,3264,552,97,5.913043478260869,0.592391304347826,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
28,738,115,27,6.417391304347826,0.7652173913043478,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
29,918,138,25,6.6521739130434785,0.8188405797101449,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
30,768,115,28,6.678260869565217,0.8173913043478261,0.0,0.0,0,0,0.0,1.0,1.0,1.0,,3.0,,1.0,,1
31,4796,759,104,6.318840579710145,0.6429512516469038,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,4.0,,,1.0,1
