original_index,text_length,word_count,sentence_count,avg_word_length,lexical_diversity,has_questions,has_exclamations,keyword_overlap,response_relevance,grammar_quality,has_punctuation,sentence_completeness,has_greeting,has_description,has_connectors,has_emotional_words,style_score,answer_length_sufficiency,content_richness,engagement_level,question_type,composite_quality_score
0,535,87,14,4.873563218390805,0.7241379310344828,1,0,0.6666666666666666,1.0,0.8428571428571427,1.0,0.8571428571428571,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.896551724137931,0.9379310344827587,1.0,0.8039819376026274
1,511,84,16,4.785714285714286,0.7023809523809523,1,0,0.8604651162790697,1.0,0.8,1.0,0.75,0.0,1.0,0.0,0.0,0.0,1.0,0.8941176470588235,0.9364705882352942,2.0,0.7916812585499315
2,972,126,24,6.396825396825397,0.7142857142857143,1,0,0.8571428571428571,1.0,0.7833333333333334,1.0,0.7083333333333334,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.8779527559055118,0.926771653543307,3.0,0.8138038995125609
3,5002,820,123,4.796341463414634,0.4975609756097561,1,0,0.7674418604651163,1.0,0.8414634146341464,1.0,0.8536585365853658,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8118872549019608,0.8871323529411765,4.0,0.836593345789819
4,553,79,13,5.746835443037975,0.7215189873417721,1,0,0.5925925925925926,1.0,0.8076923076923077,1.0,0.7692307692307693,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.9113924050632911,0.9468354430379746,1.0,0.7786629521439647
5,2272,371,12,5.0161725067385445,0.6549865229110512,1,0,0.8604651162790697,1.0,0.7333333333333333,1.0,0.8333333333333334,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,0.8513513513513513,0.9108108108108108,2.0,0.8130840142468049
6,1084,172,1,5.308139534883721,0.6686046511627907,0,0,0.7073170731707317,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.8343023255813953,0.6005813953488373,3.0,0.7150293061070145
7,2835,470,1,5.017021276595744,0.5680851063829787,0,0,0.6904761904761905,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.7933618843683083,0.576017130620985,4.0,0.7351687570102987
8,1254,191,37,5.324607329842932,0.6282722513089005,1,0,0.68,1.0,0.7918918918918918,1.0,0.7297297297297297,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.8657894736842106,0.9194736842105264,1.0,0.8122128971076339
9,1037,165,1,5.2727272727272725,0.6727272727272727,0,0,0.6976744186046512,1.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.8385093167701863,0.6031055900621118,2.0,0.7474437864124416
10,1061,161,13,5.366459627329193,0.6583850931677019,1,0,0.782608695652174,1.0,0.8076923076923077,1.0,0.7692307692307693,1.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.8682634730538923,0.9209580838323355,3.0,0.8396485624069587
11,2592,419,79,4.897374701670644,0.5608591885441527,1,0,0.7555555555555555,1.0,0.8443037974683545,1.0,0.8607594936708861,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8389830508474576,0.9033898305084747,4.0,0.8418552289685095
12,555,77,15,5.857142857142857,0.7012987012987013,1,0,0.64,1.0,0.7933333333333332,1.0,0.7333333333333333,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.9025974025974026,0.9415584415584415,1.0,0.7802900432900433
13,2234,364,80,4.84065934065934,0.5851648351648352,1,0,0.8113207547169812,1.0,0.625,1.0,0.8125,0.0,1.0,0.0,0.0,0.0,1.0,0.8547486033519553,0.9128491620111732,2.0,0.7524038157478654
14,920,139,21,5.338129496402877,0.697841726618705,1,0,0.7317073170731707,1.0,0.8428571428571427,1.0,0.8571428571428571,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.9064748201438849,0.943884892086331,3.0,0.8193716107253569
15,3342,552,124,4.708333333333333,0.5289855072463768,1,0,0.7209302325581395,1.0,0.5838709677419355,1.0,0.7096774193548387,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.8312043795620438,0.8987226277372262,4.0,0.7788901513699593
16,1241,203,6,5.0,0.7438423645320197,0,0,0.6153846153846154,1.0,0.6,1.0,0.5,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.8725961538461539,0.6235576923076923,1.0,0.6708333333333333
17,1798,274,38,5.306569343065694,0.6204379562043796,1,0,0.8604651162790697,1.0,0.868421052631579,1.0,0.9210526315789473,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.8796992481203008,0.9278195488721805,2.0,0.8822559305239843
18,788,118,25,5.322033898305085,0.711864406779661,1,0,0.8695652173913043,1.0,0.588,1.0,0.72,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.9090909090909092,0.9454545454545455,3.0,0.7956281949934124
19,2880,443,93,5.218961625282167,0.5869074492099323,1,0,0.7804878048780488,1.0,0.6225806451612903,1.0,0.8064516129032258,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,0.8532110091743119,0.9119266055045872,4.0,0.7782337945752942
20,1005,162,26,4.820987654320987,0.654320987654321,1,0,0.8076923076923077,1.0,0.823076923076923,1.0,0.8076923076923077,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.8772455089820359,0.9263473053892215,1.0,0.8529748195915859
21,1086,167,27,5.245508982035928,0.7305389221556886,1,0,0.8611111111111112,1.0,0.8555555555555556,1.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.9176829268292683,0.950609756097561,2.0,0.8530216802168022
22,1065,151,25,5.741721854304636,0.7152317880794702,1,0,0.7674418604651163,1.0,0.804,1.0,0.76,1.0,1.0,1.0,1.0,1.0,1.0,0.8935483870967742,0.9361290322580644,3.0,0.874539984996249
23,4088,649,94,5.0231124807395995,0.5577812018489985,1,0,0.813953488372093,1.0,0.8659574468085107,1.0,0.9148936170212766,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8385093167701863,0.9031055900621119,4.0,0.8620825790893343
24,477,68,14,5.720588235294118,0.6470588235294118,1,0,0.8095238095238095,1.0,0.5571428571428572,1.0,0.6428571428571429,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.875,0.925,1.0,0.763095238095238
25,2183,356,86,4.786516853932584,0.5870786516853933,1,0,0.8113207547169812,1.0,0.6069767441860465,1.0,0.7674418604651163,1.0,1.0,1.0,1.0,1.0,1.0,0.8541076487252124,0.9124645892351275,2.0,0.8450406843118659
26,1104,175,48,4.9314285714285715,0.5714285714285714,1,0,0.7346938775510204,1.0,0.5166666666666666,1.0,0.5416666666666666,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.827683615819209,0.8966101694915254,3.0,0.7205828433068142
27,3264,555,157,4.443243243243243,0.44504504504504505,1,0,0.6666666666666666,1.0,0.5038216560509554,1.0,0.5095541401273885,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7961956521739131,0.8777173913043479,4.0,0.7276156189421212
